name,price
包邮  Python程序设计习题解析 清华社 Python编程教程书籍 Python,27.80
Python程序设计——从基础到开发 Python语言编程入门教程书籍,35.00
3本 量化投资-以Python为工具+零起点Python大数据与量化交易+机器学习快速入门,198.00
Python程序设计基础 计算机与互联网 书箱|4794226,22.50
Python数据分析与挖掘实战+贝叶斯思维 统计建模的Python学习法2本书,88.00
Python机器学习实践指南,58.70
Python生物信息学数据管理 计算机与互联网 书箱|5062803,55.20
Python大战机器学习：数据科学家的个小目标 计算机与互联网 书箱|5311971,50.40
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 人民邮电出,101.80
官方正版 Python金融实战 金融数据分析教程书籍 python数据计算器编程教程,54.00
Python可以这样学 董付国 正版书籍,56.58
Python自动化运维:技术与最佳实践(刘天斯),51.80
贝叶斯方法 概率编程与贝叶斯推断,46.60
跟老齐学Python Django实战 齐伟编 计算机与互联,57.30
Python新手使用Django架站的16堂课+Django开发宝典,119.00
流畅的Python,118.20
流畅的Python,95.00
ArcGIS下的Python编程/包瑞清,76.80
流畅的Python/图灵程序设计丛书,107.03
Python地理数据处理 [美]Chris Garrard 加勒德,58.80
Python大战机器学习：数据科学家的个小目标 计算机与互联网 书箱|5311971,50.40
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 人民邮电出,101.80
官方正版 Python金融实战 金融数据分析教程书籍 python数据计算器编程教程,54.00
Python可以这样学 董付国 正版书籍,56.58
Python自动化运维:技术与最佳实践(刘天斯),51.80
贝叶斯方法 概率编程与贝叶斯推断,46.60
跟老齐学Python Django实战 齐伟编 计算机与互联,57.30
Python新手使用Django架站的16堂课+Django开发宝典,119.00
流畅的Python,118.20
流畅的Python,95.00
ArcGIS下的Python编程/包瑞清,76.80
流畅的Python/图灵程序设计丛书,107.03
Python地理数据处理 [美]Chris Garrard 加勒德,58.80
Python机器学习算法,58.70
Flask Web开发 基于Python的Web应用开发实战 [美]格林布戈 人民邮电出版,45.50
Python数据处理,61.20
Python机器学习(影印版)(英文版),64.38
现货零起点Python足彩大数据与机器学习实盘分析 Python编程语言书籍 机器学习,69.30
Python爬虫开发与项目实战 Python编程入门教程书籍 数据采集教程,58.50
Python数据可视化,50.40
Python高性能编程 python编程教程 python爬虫程序设计书籍,59.00
深入浅出深度学习：原理剖析与Python实践,59.00
人邮新书 Python地理数据处理 python数据处理 ArcGIS 矢量数据,67.20
Python高级编程 [美] Luke Sneeringer 宋V剑 刘磊 9787302,27.39
网络爬虫全解析——技术、原理与实践 python网络爬虫 网络数据采集 数据抓取技术,55.30
Python基础教程 刘浪主编 计算机与互联网 书籍,36.90
预测分析：Python语言实现 预测分析建模教程书籍 数据可视化分析技术书籍 数据挖掘建模,42.60
BF【全新正版】Python核心编程 第3版 9787115414779,84.20
零基础入门学习Python 小甲鱼 清华大学出版社 9787302438205,42.10
现货包邮 流畅的Python 编程教程书籍 人民邮电出版社,111.20
Web接口开发与自动化测试基于Python语言,50.20
包邮 零起点Python机器学习快速入门 python语言编程书籍 python机器学,46.30
机器学习实战 python基础教程指南  美哈林顿 计,56.60
Python编程入门(第3版 ) 计算机与互联网 书籍,32.00
现货包邮 ABAQUS Python二次开发攻略+Abaqus GUI程序开发指南 Pyt,93.00
"Python学习手册：第4版(涵盖Python2 6和3 X) 鲁特兹,李军,刘红伟 机械",91.20
跟老齐学Python：轻松入门,35.40
Python机器学习算法,44.85
"利用Python进行数据分析 (美)麦金尼,唐学韬 机械工业出版社",69.90
数据结构 Python语言描述 [美] Kenneth A. Lambert 兰伯特 97,43.50
ys Python程序设计开发宝典 Python内置对象标准库对象高级应用前沿新技术 P,53.40
【北京发货】像计算机科学家一样思考Python 第2版 [美] 艾伦 B. 唐尼(Alle,24.50
阻击黑客：技术、策略与案例+Python绝技:运用Python成为顶级黑客 2册,118.00
Python网络爬虫实战,50.20
从Python开始学编程,29.40
Python金融大数据分析,69.30
Python网络编程-(第3版),67.20
区域包邮 TZPython爬虫开发与项目实战+精通Python网络爬虫 图书 共2本,120.20
Python机器学习实践指南,58.70
Python爬虫开发与项目实战,67.20
零起点Python机器学习快速入门 何海群 计算机与互联网 书籍,43.70
包邮 Python 3.5从零开始学  Python基础教程 Python 入门书 网络,44.50
现货 用Python写网络爬虫+Python Web开发实战,115.80
Python数据科学入门 python数据挖掘技术教程书籍,35.00
包邮 跟老齐学Python：Django实战 +轻松入门 2本 Django开发实战教程,95.60
Python 3.5从零开始学,41.30
包邮 零起点python足彩大数据与机器学习实盘分析 人工智能算法 大数据分析书,73.50
PYTHON爬虫开发与项目实战 9787111563877 范传辉,51.40
Python学习从入门到实践 python基础教程书籍 核心编程 网络爬虫,34.50
Python高效开发实战+Python Web开发实战+Flask Web开发-基于Pyt,189.00
Python大战机器学习 数据科学家的靠前个小目标 华校专王正林编 计算机与互联网 书籍,55.90
从零开始学Python网络爬虫 计算机与互联网 书箱|6821955,47.20
【官方正版】Python金融大数据分析 学习Python编程入门基础教程 成为数据分析高手,65.00
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,41.00
【官方正版】用Python写网络爬虫 全面剖析爬虫技术的实现原理 入门到精通计算机自学书籍,30.00
教孩子学编程（Python语言版）+趣学Python+父与子的编程之旅 与小卡特一起学Py,143.00
面向ArcGIS的Python脚本编程 计算机与互联网 书籍,35.80
易学Python,35.50
精通Python网络爬虫 核心技术框架与项目实战+Python 网络爬虫实战,96.00
Python机器学习 预测分析核心算法+Python机器学习及实践,89.00
Python数据分析基础 [美]克林顿布朗利(Clinton W. Brownley) 人,52.80
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,49.90
从零开始学Python网络爬虫 Python网络爬虫开发原理工具书,42.20
正版书籍 Python自然语言处理,75.70
正版现货 Python数据分析实战+Python基础教程 2册 python语言编程入门,138.00
正版包邮 Python全栈开发实践入门,44.00
零基础入门学习Python 小甲鱼计算机/网络 程序设计 零基础学编程 python基础学,45.00
包邮 python数据分析基础+数据处理+网络数据采集+数据抓取技术与实战+写网络爬虫,239.80
用Python写网络爬虫+Python网络数据采集+利用Python进行数据分析3本书籍,150.50
ABAQUS Python二次开发攻略 苏景鹤江丙云编 计算机与互联网 书籍,43.70
实用机器学习 python机器学习入门教程书籍 机器学习 算法,53.80
Python参考手册 第4版 修订版 9787115394392,52.50
Python程序设计教程 Python语言编程教程书籍 python3.5基础教程,42.50
包邮深入理解 Flask+Flask Web开发:基于Python的Web应用开发实战,103.00
零起点Python大数据与量化交易 何海群 计算机与互联网 书籍,68.90
Python网络爬虫实战+Python数据抓取技术与实战+用Python写网络爬虫+,207.90
包邮 Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80
共5本 python数据分析基础+数据处理+网络数据采集+数据抓取技术与实战+网络爬虫,239.80
包邮 Python程序设计开发宝典 Python程序设计 Python语言编程 文本排版,50.90
零基础学Python(图文版) 计算机与互联网 书籍,52.40
包邮 3本 Python机器学习算法+深度学习、优化与识别+深入浅出深度学习,198.50
Selenium 2自动化测试实战——基于Python语言,41.90
包邮 零基础学Python 附光盘 核心编程设计开发基础教程 动态脚本语言教材 pyth,59.90
"包邮 Python核心编程(第3版)+""笨办法""学Python(第3版)  2本",111.00
数据科学实战手册 R+Python 等 计算机与互联网 书籍,43.10
Python网络爬虫从入门到实践,41.70
2018新版 现货Python编程从入门到实践python3.5绝技核心编程基础教程网络爬,86.00
精通Scrapy网络爬虫+Python爬虫开发与项目实战+网络爬虫全解析 技术 原理,161.80
Python设计模式(第2版),30.42
跟老齐学Python：Django实战 齐伟 Django开发实战教程书籍,49.50
跟老齐学Python：轻松入门 齐伟Python入门书籍 python核心编程技术,42.00
Python袖珍指南(第5版) 计算机与互联网 书籍,28.10
Abaqus GUI程序开发指南（Python语言）+Python算法教程共2本,95.80
流畅的Python + TensorFlow技术解析与实战 精通Python畅销书籍 T,165.70
Python编程(第4版) 计算机与互联网 书籍,146.50
包邮 移动Web前端高效开发实战+Python高效开发实战+Python Web开发实战,211.60
跟老齐学Python轻松入门,36.60
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
ABAQUS Python二次开发攻略 CAE分析大系+Abaqus GUI+经典例,146.10
Python网络数据采集+用Python写网络爬虫  数据抓取 数据分析 Python数,79.00
区域包邮 利用Python进行数据分析+Python网络数据采集 2本,111.00
Python金融大数据分析 python基础教程 金融处理与分析书籍,74.30
Python基础教程(第2版 修订版)+机器学习实战 python基础教程指南  Pyt,112.50
Raspberry Pi:Python编程入门,31.50
【正版包邮】笨办法学Python(附光盘第3版) Python入门书籍 计算机系统基础入门,34.50
Web接口开发与自动化测试——基于Python语言+软件自动化测试开发 2本,83.60
基于Python的Google App Engine编程,66.00
包邮Python与机器学习实战：决策树、集成学习、支持向量机+深入浅出深度学习原理剖析,110.80
"Python入门经典 [美]Katie Cunningham,李军,李强 97871153",36.30
Python程序设计习题解析（大学计算机基础教育规划教材） 计算机与互联…|5517324,26.10
Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,48.60
笨办法 学Python 第3版 计算机程序设计 python基础教程python编程基础,36.00
Python高级编程 计算机与互联网 书籍,37.40
Python游戏编程入门,37.00
正版包邮 Python机器学习 预测分析核心算法,44.00
Python 3.5从零开始学 python3.5编程教程书籍 python编程从入门到实,42.60
跟老齐学Python：Django实战,44.90
毫无障碍学Python(附光盘),40.60
包邮 NLTK基础教程 用NLTK和Python库构建机器学习应用  自然语言处理 NL,36.80
Python数据分析 计算机与互联网 书籍,43.10
OpenCV 3计算机视觉：Python语言实现+OpenCV图像处理编程实例 计算机 书,107.00
包邮 贝叶斯思维+Python大战机器学习+推荐系统:技术、评估及高效算法  3本,195.00
【经典版】利用Python进行数据分析 Python核心编程教材 数据挖掘 大数据统计分析,79.00
包邮 跟老齐学Python：Django实战+高效开发实战+Web开发实战 3本,197.00
机器学习 Python实践 魏贞原 Python机器学习入门图书 Python编程语言教,44.80
精通Python自然语言处理+NLTK基础教程+NLP汉语自然语言处理原理深度学习4本,189.50
现货 Python Web开发实战 Python Web应用程序编程教程书籍,77.80
包邮 Web测试囧事+web接口开发与自动化测试 基于Python语言 虫师,88.00
Python程序设计案例课堂,46.00
精通Python自然语言处理+NLTK基础教程+NLP汉语自然语言处理原理深度学习4本,193.00
机器人Python极客编程入门与实战,58.40
Python数据分析实战 计算机与互联网 书箱|6399154,55.30
Python数据处理,98.00
【官方正版】算法图解  代码示例基于Python 400多个示意图 生动介绍算法执行过程！,34.00
4册 MicroPython入门指南+Arduino从入门到精通10讲+,152.80
Python数据科学实践指南,46.60
正版包邮 Python极客项目编程,44.00
包邮MicroPython入门指南+micro:bit 入门指南 编程教程书籍,80.80
Python编程快速上手 让繁琐工作自动化,51.10
Python大战机器学习+TensorFlow实战+Python机器学习及实践+Tenso,198.80
Python网络爬虫实战/Python语言编程教程书籍/Python网络爬虫入门到精通/数,45.40
中学生可以这样学Python,28.00
正版包邮 Python机器学习,50.00
Effective Python：编写高质量Python代码的59个有效方法 英文版 (美,35.75
包邮现货 Keras快速上手 基于Python的深度学习实战 keras编程教程书籍,60.50
Python大战机器学习 数据科学家的靠前个小目标 华校专王正林编 计算机与互联网 书籍,55.90
Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现,41.40
Python网络数据采集 大数据采集原理 网络爬虫测试 Python从入门到精通基础教程,50.00
Python新手使用Django架站的16堂课 何敏煌 计算机与互联网 书籍,66.70
从Python开始学编程,37.00
从零开始学Python网络爬虫 计算机与互联网 书箱|6821955,47.20
【官方正版】Python金融大数据分析 学习Python编程入门基础教程 成为数据分析高手,65.00
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,41.00
【官方正版】用Python写网络爬虫 全面剖析爬虫技术的实现原理 入门到精通计算机自学书籍,30.00
教孩子学编程（Python语言版）+趣学Python+父与子的编程之旅 与小卡特一起学Py,143.00
面向ArcGIS的Python脚本编程 计算机与互联网 书籍,35.80
易学Python,35.50
"2K 9787111351559 Python语言在Abaqus中的应用 曹金凤,王旭春,",38.40
Python密码学编程 计算机与互联网 书籍,50.30
零起点Python大数据与量化交易 何海群 9787121306594,62.40
(正版特价)预测分析建模：Python与R语言实现 计算机与互联网 书箱|229224,35.50
包邮精通Python自然语言处理+NLP汉语自然语言处理原理与实践 2本 语法语义分析,116.60
Python语言在Abaqus中的应用 计算机与互联网 书箱|5470968,38.40
Python机器学习 预测分析核心算法+Python机器学习及实践,89.00
Python数据分析基础 [美]克林顿布朗利(Clinton W. Brownley) 人,52.80
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,49.90
从零开始学Python网络爬虫 Python网络爬虫开发原理工具书,42.20
像计算机科学家一样思考Python 第2版 绝技核心编程基础视频教程网络爬虫入门书籍,36.20
Python核心编程(第二版)(Python领域经典作品、非常有名的开发指南) ChunW,65.80
Python可以这样学 董付国 清华大学出版社 零基础学习python的指南 Python,76.31
Python基础教程（第2版 修订版）,39.50
Python零基础入门学习-水木书荟,38.00
Python核心编程（第3版）,78.20
Python 3.5从零开始学,46.60
利用Python进行数据分析,58.70
Python编程快速上手 让繁琐工作自动化,49.60
用Python写网络爬虫,35.50
漏洞战争：软件漏洞分析精要+Python绝技:运用Python成为黑客 2本,147.00
流畅的Python,109.80
“笨办法”学Python（第3版 附光盘1张）,38.70
Python编程（第4版 套装上下册）,148.50
Python数据分析与挖掘实战,54.50
Python机器学习实践指南,54.50
O'Reilly：Python学习手册（第4版）,94.00
Python网络数据采集,46.60
Python绝技：运用Python成为顶级黑客,55.70
爱上Python 一日精通Python编程 [新加坡]Jamie Chan,31.80
预测分析：Python语言实现 计算机与互联网 书箱|6265538,38.40
Python核心编程（第3版）英文版,75.00
Python开发向导/云计算工程师系列,40.80
机器人Python极客编程入门与实战,52.00
Python自然语言处理 python编程语言程序设计书籍 python自然语言处理入门指,65.80
Python机器学习实践指南 程序设计 python 书,69.00
父与子的编程之旅：与小卡特一起学Python,54.50
Python机器学习,62.40
Python Cookbook（第3版）中文版,85.30
量化投资：以Python为工具,74.30
Python核心编程（第2版）,70.30
Python自然语言处理,70.30
Python爬虫开发与项目实战,62.40
预测分析 Python语言实现 计算机与互联网 书籍,44.20
现货 零起点Python机器学习快速入门 python语言编程书籍 python机器学习,47.00
Python编程基础与HTTP接口测试,31.90
Selenium 2自动化测试实战 基于Python语言 程序设计 计算机网络,42.50
PytPython程序设计教程+从Python开始学编程 Vamei python编程语言,87.50
机器人系统设计与制作：Python语言实现,41.00
从零开始学Python网络爬虫,46.60
Python数据分析基础,54.50
Python语言及其应用,62.40
Python算法教程,54.50
教孩子学编程 Python语言版,46.50
数据结构 Python语言描述,54.50
Python数据处理,78.20
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署 [美],30.90
Web接口开发与自动化测试 基于Python语言+全栈性能测试修炼宝典:JMeter实战,103.60
爱上Python 一日精通Python编程  [Learn Python in One D,25.00
包邮 零起点TensorFlow快速入门+Python机器学习快速入门 2本,95.60
包邮从芯片到云端:Python物联网全栈开发实践+Python全栈开发实践入门,139.80
零起点Python大数据与量化交易,78.20
Python科学计算(第2版)（附光盘）,93.20
Python计算机视觉编程,54.50
跟老齐学Python：Django实战,54.50
Python编程快速上手 Python编程从入门到实践python3.0编程从入门到实践,42.80
Python游戏编程入门,38.70
Python机器学习 预测分析核心算法,54.50
Python 3程序开发指南（第2版 修订版）,54.50
包邮 中学生可以这样学Python 计算机网络 程序设计 中小学教辅 中小学阅读 课外阅,33.30
利用Python进行数据分析 9787111436737,52.50
小程序 巧应用+从Python开始学编程+用Python写网络爬虫+开发实战 四册,188.80
包邮 精通Python自然语言处理+NLP汉语自然语言处理原理与实践 2本,119.00
Python面向对象编程指南 python面向对象程序设计教程书籍 python计算,50.30
包邮 Python机器学习算法+深入浅出深度学习：原理剖析与Python实践,110.90
Selenium 2自动化测试实战 基于Python语言,46.60
Python高性能编程,62.40
Python数据可视化,54.50
Effective Python：编写高质量Python代码的59个有效方法,46.60
Python Linux系统管理与自动化运维,70.30
毫无障碍学Python,45.80
Python参考手册 第4版 修订版,70.30
PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,35.50
包邮Python数据分析与数据化运营 Python基础教程 Python编程语言教程书,73.60
包邮 Python地理数据处理+Python科学计算基础教程 python数据分析实战教程,95.80
跟老齐学Python:Django实战 齐伟著,69.00
Python网络爬虫从入门到实践 唐松 陈智铨 机械工业出版社,38.80
精通Python网络爬虫：核心技术、框架与项目实战,54.50
Python机器学习算法,48.70
Python高级编程 第2版,70.30
Python自动化运维：技术与最佳实践,54.50
Python数据分析,46.60
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,48.70
Python 黑帽子：黑客与渗透测试编程之道,43.40
深入浅出深度学习：原理剖析与Python实践,62.40
正版  新书  Python机器学习及实践---- 从零开始通往Kaggle竞赛之路 创意,39.20
Head First Python(中文版),40.80
O'Reilly：深入浅出 Python(中文版),49.60
Head First Python（第二版）,102.10
Python项目开发实战(第2版)/图灵程序设计丛书,58.46
Python数据科学入门 计算机与互联网 书籍,35.80
贝叶斯思维 统计建模的Python学习法,38.70
Python数据分析与数据化运营,78.20
零基础入门学习Python 实用·好玩·参与 程序设计核心编程学习手册,35.00
Python Qt GUI快速编程：PyQt编程指南,62.40
Python网络编程（第3版）,62.40
图灵程序设计丛书·Flask Web开发：基于Python的Web应用开发实战,46.60
Python语言程序设计基础(第2版),32.80
漏洞战争软件漏洞分析精要 Python绝技运用Python成为*黑客 安全之路Web渗透技,282.00
Python设计模式 第2版 python编程教程书籍 python软件架构框架设计开发书,28.00
Python核心编程第3版+零基础入门学习Python 全2册  python入门到精通,103.74
用Python写网络爬虫 剖析爬虫技术的实现原理 利用Python的强大功能从网站爬取数据,32.90
OpenCV 3计算机视觉：Python语言实现（原书第2版）人脸检测与识别 图像检索 神,46.00
Python与数据挖掘,38.70
像计算机科学家一样思考Python 第2版,38.70
Python高性能编程 计算机与互联网 书籍,63.20
包邮OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍,59.00
【计算机网络】Python大战机器学习：数据科学家的第一个小目标 算法笔记 人工神经网络,210.80
包邮 量化交易之路+量化投资+零起点Python大数据与量化交易 3本,214.80
【虎彩 按需出版】Python技术手册(第2版) {美}Alex 人民邮电出版社,133.50
包邮 零基础入门学习Python+用Python写网络爬虫  2本,72.00
Python Web开发实战+Flask Web开发+ 测试驱动方法+高效开发实战共4本,258.00
包邮白帽子讲Web扫描+Web安全深度剖析+Python绝技+漏洞战争+软件保护及分析技术,292.60
Python 学习手册,89.30
流畅的Python+Python大战机器学习+网络爬虫实战+Python机器学习 5本,309.00
现货 Python大战机器学习：数据科学家的第一个小目标 机器学习入门教程书籍,46.00
Python数据分析与数据化运营 宋天龙 计算机与互联网 书籍,81.20
Python入门经典,31.00
包邮  零起点python足彩大数据与机器学习实盘分析 Python编程语言教程书籍,74.30
区域包邮贝叶斯思维:统计建模的Python学习法+统计思维：程序员数学之概率统计  2本,73.00
Python学习手册(第四版) - 鲁特兹,83.30
NLTK基础教程 用NLTK和Python库构建机器学习应用  自然语言处理 NLP任务,54.26
机器人Python极客编程入门与实战 计算机与互联网 书箱|6272640,47.20
从芯片到云端：Python物联网全栈开发实践 计算机与互联网 书箱|6785177,86.90
Python数据分析与挖掘实战 计算机与互联网 书箱|4894338,44.80
包邮 量化交易之路+Python机器学习快速入门+大数据与量化交易+量化投资 4本,258.60
跟老齐学Python：轻松入门 计算机与互联网 书箱|5395126,47.20
Python和Pygame游戏开发指南,46.60
图灵程序设计丛书：Python网络编程攻略,35.50
Python编程与问题求解/国外计算机科学经典教材,52.00
Python密码学编程,54.50
Python Linux系统管理与自动化运维 计算机与互联网 书箱|6550978,62.30
包邮 流畅的Python python语言编程教程书籍 python代码大全,89.80
预测分析建模：Python与R语言实现,62.40
Python编程快速上手 让繁琐工作自动化 计算机与互联网 书籍,46.90
Python机器学习 计算机与互联网 书箱|5345679,51.40
"""笨办法""学Python(第3版) 计算机与互联网 书籍",39.20
Python Cookbook(中文版 第3版) 计算机与互联网 书籍,73.40
Python高手之路 第3版,43.40
Python数据科学指南,62.40
Selenium 2自动化测试实战+Web接口开发与自动化测试 基于Python语言,88.00
Maya Python 游戏与影视编程指南,66.20
包邮 量化投资 以Python为工具 Python语言处理 数据Python金融 量化投资,65.80
Python和HDF 5大数据应用,30.80
Python自动化运维与大互联网公司的运维方法、技巧（套装共2册）,122.10
Python数据分析实战,46.60
爱上Python 一日精通Python编程,30.80
Python机器学习经典实例 python机器学习算法教程书籍 深度学习,41.50
数据结构与算法：Python语言描述 计算机与互联网 书箱|4909472,29.20
从Python开始学编程,38.70
Python数据分析与数据化运营 计算机与互联网 书箱|6998727,69.30
Python编程快速上手 让繁琐工作自动化 Python从入门到精通 Python编程书籍,42.80
现货机器人Python极客编程入门与实战 Python极客团队 python极客机器人编程,41.50
Abaqus GUI程序开发指南 Python语言,46.60
精通Python网络爬虫：核心技术、框架与项目实战 计算机与互联网 书箱|5386911,44.80
程序设计导论：Python语言实践（英文版）,109.80
数据科学实战手册 R+Python,46.60
Python基础教程+利用Python进行数据分析 Python学习套装 共两册 (第2,129.50
Python科学计算(第2版) 张若愚 计算机与互联网 书籍,82.60
零基础入门学习Python 小甲鱼计算机/网络 程序设计 零基础学编程基础学习教程,36.60
Python学习手册 鲁特兹 计算机与互联网 书籍,80.80
教孩子学编程(Python语言版) 计算机与互联网 书籍,41.20
基于ArcGIS的Python编程秘笈2版+面向ArcGIS的Python脚本编程,87.30
Python面向对象编程指南 计算机与互联网 书籍,57.60
Python机器学习经典实例 辞典与工具书 书籍,43.00
从Python小白到爬虫高手（套装共2册）,100.30
Python网络数据采集+Python核心编程（套装共2册）,133.50
包邮  R语言实战(第2版)+利用Python进行数据分析  2本,139.50
毫无障碍学Python编程从入门到实践python3.0绝技核心编程教程网络爬虫入门书籍,42.50
贝叶斯思维 统计建模的Python学习法 计算机与互联网 书籍,39.20
Python设计模式(第2版) 计算机与互联网 书籍,28.40
Python程序设计教程,47.20
Python物理建模初学者指南,42.20
流畅的Python 计算机与互联网 书籍,111.20
Python核心编程 第3版+Python基础教程 全2册 python开发大全,122.80
Python自然语言处理 计算机与互联网 书籍,60.90
正版包邮 Python高效开发实战:Django、Tornado、Flask、Twiste,57.00
教孩子学编程 Python语言版+趣学Python+趣学JavaScript 教孩子学编程,132.80
用Python写网络爬虫 计算机与互联网 书籍,31.50
Web接口开发与自动化测试--基于Python语言 计算机与互联网 书箱|5459901,43.10
Python网络编程 第3版 Python3爬虫数据分析编程理解技术 Python构建网络,58.40
精通Python自然语言处理 计算机与互联网 书籍,44.80
像计算机科学家一样思考Python(第2版) 计算机与互联网 书籍,33.70
OpenCV 3计算机视觉 Python语言实现(原书第2版) 等 计算机与互联网 书籍,35.80
数据科学导论：Python语言实现,38.70
机器人系统设计与制作：Python语言实现,46.60
中国高校创意创新创业教育系列丛书：Python学习从入门到实践,40.80
零基础入门学习Python 小甲鱼 Python3入门教程书籍 Python3基础,36.60
Python机器学习 计算机与互联网 书箱|5345679,51.40
爱上Python 一日精通Python编程,30.80
Python机器学习经典实例 辞典与工具书 书籍,43.00
Python机器学习经典实例 python机器学习算法教程书籍 深度学习,41.50
Python参考手册(第4版 修订版) 计算机与互联网 书籍,61.40
包邮 Python绝技：运用Python成为黑客+Python 黑帽子：黑客与渗透测试,100.00
Python3程序开发指南(第2版 修订版) 计算机与互联网 书籍,48.40
Python自然语言处理 计算机教材 自然语言处理入门,71.20
Python大战机器学习+深度学习、优化与识别+TensorFlow实战+深度学习框架,265.50
Python 3.5从零开始学 python3.5编程教程书籍 程序设计开发书籍,42.00
Python数据分析（影印版）,55.30
趣学Python编程 计算机与互联网 书籍,32.80
从Python开始学编程,38.70
Python数据分析与数据化运营 计算机与互联网 书箱|6998727,69.30
Python编程快速上手 让繁琐工作自动化 Python从入门到精通 Python编程书籍,42.80
现货机器人Python极客编程入门与实战 Python极客团队 python极客机器人编程,41.50
包邮  R语言实战(第2版)+利用Python进行数据分析  2本,139.50
从Python小白到爬虫高手（套装共2册）,100.30
Python网络数据采集+Python核心编程（套装共2册）,133.50
毫无障碍学Python编程从入门到实践python3.0绝技核心编程教程网络爬虫入门书籍,42.50
包邮  Python新手使用Django架站的16堂课  Python入门教程书籍 Dj,63.90
大数据技术丛书：Python Matlab数据分析与挖掘（套装共2册）,113.90
Python算法教程 计算机与互联网 书籍,46.80
包邮 Python地理空间分析指南（第2版）,59.00
正版包邮 Python Qt GUI快速编程——PyQt编程指南,50.00
Web接口开发与自动化测试--基于Python语言 计算机与互联网 书箱|5459901,43.10
正版 Python 网络爬虫实战 胡松涛 计算机编程/程序设计 大数据工程师的Python,47.20
【官方正版包邮】Python基础教程(第2版修订版)程序设计丛书 python基础学习书籍,45.00
